ATICA,EST,TIENDA,Margen Gestión,Ventas,Compras
6218,5728,"C/Senia del Barral, 19",14761.17,4925.40,65112.57
6231,5739,"C/ San Isidre, 25",24453.33,8343.88,101500.87
6232,5740,"C/ del Poeta Costa i Llobera, 121",23239.20,14896.97,99280.59
6234,5742,"Rambla de Sant Joan, 105",14844.49,183.99,63397.01
6246,5753,"C/ Panama, 10",27745.23,311.15,110429.31
6255,5760,"C/ Mayor Baja, 13",14894.72,4647.76,66099.88
6266,5770,"Plaza Anteiglesia, 5, Bajo",13201.88,345.34,61878.05
6287,5790,"Calle Antonio Lopez,37",11042.71,0.70,46767.36
6288,5791,"Calle Ercilla, 21",6505.42,123.92,25793.14
6289,5792,"Avda de Brasil, 8",9586.16,82.22,37478.42
6290,5793,"Av Pi i Maragall, 53",1095.93,24.10,4698.40
6294,5797,Passeig San Joan 98,0.00,0.00,0.00
